Date,Close,Volume
03/27/2019,47.12,119084840
03/26/2019,46.7,198784400
03/25/2019,47.18,175007240
03/22/2019,47.76,169150560
03/21/2019,48.77,203772480
03/20/2019,47.04,124013520
03/19/2019,46.63,125761200
03/18/2019,47.0,104594360
03/15/2019,46.53,156069960
03/14/2019,45.93,94110640
03/13/2019,45.43,123718960
03/12/2019,45.23,129667200
03/11/2019,44.72,124492000
03/08/2019,43.23,95943840
03/07/2019,43.12,99021880
03/06/2019,43.63,83020560
03/05/2019,43.88,76953920
03/04/2019,43.96,109652240
03/01/2019,43.74,102950240
02/28/2019,43.29,111815240
02/27/2019,43.72,111270560
02/26/2019,43.58,67966440
02/25/2019,43.56,87385600
02/22/2019,43.24,75561000
02/21/2019,42.76,68618160
02/20/2019,43.01,101295560
02/19/2019,42.73,75834280
02/15/2019,42.6,98413280
02/14/2019,42.7,87140720
02/13/2019,42.54,89558640
02/12/2019,42.72,88897600
02/11/2019,42.36,83760080
02/08/2019,42.6,95175320
02/07/2019,42.74,126576960
02/06/2019,43.56,112818560
02/05/2019,43.54,144218280
02/04/2019,42.81,125538880
02/01/2019,41.63,130578360
01/31/2019,41.61,162453040
01/30/2019,41.31,243201920
01/29/2019,38.67,159659400
01/28/2019,39.08,104589120
01/25/2019,39.44,134035840
01/24/2019,38.17,101672440
01/23/2019,38.48,92186240
01/22/2019,38.33,121095960
01/18/2019,39.2,133037840
01/17/2019,38.97,118464760
01/16/2019,38.74,121932480
01/15/2019,38.27,113799760
01/14/2019,37.5,128074160
01/11/2019,38.07,107698520
01/10/2019,38.45,142644800
01/09/2019,38.33,180137480
01/08/2019,37.69,162491640
01/07/2019,36.98,218285760
01/04/2019,37.06,229694600
01/03/2019,35.55,364427360
01/02/2019,39.48,142548280
12/31/2018,39.44,137997560
12/28/2018,39.06,166962400
12/27/2018,39.04,206435400
12/26/2018,39.29,232535400
12/24/2018,36.71,148676920
12/21/2018,37.68,381991600
12/20/2018,39.21,257592920
12/19/2018,40.22,190390680
12/18/2018,41.52,135013960
12/17/2018,40.98,173001680
12/14/2018,41.37,162481440
12/13/2018,42.74,127016840
12/12/2018,42.28,141898720
12/11/2018,42.16,183872160
12/10/2018,42.4,247036000
12/07/2018,42.12,166714720
12/06/2018,43.68,170819640
12/04/2018,44.17,164565000
12/03/2018,46.2,162150800
11/30/2018,44.64,157697040
11/29/2018,44.89,166094320
11/28/2018,45.24,183767000
11/27/2018,43.56,164624560
11/26/2018,43.66,178649280
11/23/2018,43.07,94495880
11/21/2018,44.2,124384960
11/20/2018,44.24,270714720
11/19/2018,46.46,166507280
11/16/2018,48.38,144765320
11/15/2018,47.85,185086640
11/14/2018,46.7,242189360
11/13/2018,48.06,186902840
11/12/2018,48.54,203964120
11/09/2018,51.12,137271040
11/08/2018,52.12,101157080
11/07/2018,52.49,133166560
11/06/2018,50.94,127098880
11/05/2018,50.4,264288680
11/02/2018,51.87,364186240
11/01/2018,55.56,211816280
10/31/2018,54.72,152067240
10/30/2018,53.32,145951720
10/29/2018,53.06,182854760
10/26/2018,54.08,188766800
10/25/2018,54.95,116109360
10/24/2018,53.77,159968480
10/23/2018,55.68,154724680
10/22/2018,55.16,115006160
10/19/2018,54.83,131497320
10/18/2018,54.0,129557120
10/17/2018,55.3,90771520
10/16/2018,55.54,115210200
10/15/2018,54.34,121121800
10/12/2018,55.53,157979080
10/11/2018,53.61,211609280
10/10/2018,54.09,164336280
10/09/2018,56.72,106626520
10/08/2018,55.94,115138200
10/05/2018,56.07,134031080
10/04/2018,57.0,127844480
10/03/2018,58.02,114161960
10/02/2018,57.32,97740040
10/01/2018,56.82,92684080
09/28/2018,56.44,90241760
09/27/2018,56.24,118917080
09/26/2018,55.1,93721480
09/25/2018,55.55,91244560
09/24/2018,55.2,110325080
09/21/2018,54.42,382336320
09/20/2018,55.01,105552200
09/19/2018,54.59,107479520
09/18/2018,54.56,125982520
09/17/2018,54.47,147240480
09/14/2018,55.96,127207880
09/13/2018,56.6,165645400
09/12/2018,55.27,196474040
09/11/2018,55.96,142578040
09/10/2018,54.58,156778880
09/07/2018,55.32,149675640
09/06/2018,55.78,136484960
09/05/2018,56.72,133163320
09/04/2018,57.09,109455840
08/31/2018,56.91,172710160
08/30/2018,56.26,194787840
08/29/2018,55.74,108297040
08/28/2018,54.92,91005560
08/27/2018,54.48,81603080
08/24/2018,54.04,73830880
08/23/2018,53.87,74023120
08/22/2018,53.76,75863720
08/21/2018,53.76,102730800
08/20/2018,53.86,120597640
08/17/2018,54.4,140137640
08/16/2018,53.33,110381240
08/15/2018,52.56,114380920
08/14/2018,52.44,82717080
08/13/2018,52.22,103458040
08/10/2018,51.88,98369840
08/09/2018,52.22,93558120
08/08/2018,51.81,89975000
08/07/2018,51.78,102102600
08/06/2018,52.27,101584400
08/03/2018,52.0,133632200
08/02/2018,51.85,249269720
08/01/2018,50.38,271249120
07/31/2018,47.57,151389040
07/30/2018,47.48,83651560
07/27/2018,47.74,95901400
07/26/2018,48.55,76020600
07/25/2018,48.7,66214000
07/24/2018,48.25,74723720
07/23/2018,47.9,63823280
07/20/2018,47.86,82683320
07/19/2018,47.97,80728200
07/18/2018,47.6,65462880
07/17/2018,47.86,62060000
07/16/2018,47.73,60039200
07/13/2018,47.83,50027320
07/12/2018,47.76,72000720
07/11/2018,46.97,75105560
07/10/2018,47.59,63205480
07/09/2018,47.64,78545560
07/06/2018,46.99,69704640
07/05/2018,46.35,66175520
07/03/2018,45.98,55819240
07/02/2018,46.8,70700840
06/29/2018,46.28,90206640
06/28/2018,46.38,69409520
06/27/2018,46.04,99949040
06/26/2018,46.11,97513920
06/25/2018,45.54,126529280
06/22/2018,46.23,108740520
06/21/2018,46.36,102596960
06/20/2018,46.62,81960360
06/19/2018,46.42,134154200
06/18/2018,47.18,73833640
06/15/2018,47.21,245753160
06/14/2018,47.7,86338880
06/13/2018,47.68,85920480
06/12/2018,48.07,67436080
06/11/2018,47.81,72279720
06/08/2018,47.92,106322840
06/07/2018,48.36,85316680
06/06/2018,48.5,83651280
06/05/2018,48.33,86142280
06/04/2018,47.96,104762480
06/01/2018,47.56,93510760
05/31/2018,46.72,109874800
05/30/2018,46.88,74013640
05/29/2018,46.98,89636440
05/25/2018,47.14,68747040
05/24/2018,47.04,92517600
05/23/2018,47.09,79866360
05/22/2018,46.79,60913080
05/21/2018,46.91,73532320
05/18/2018,46.58,72332320
05/17/2018,46.75,68057960
05/16/2018,47.04,76186400
05/15/2018,46.61,94556280
05/14/2018,47.04,81572280
05/11/2018,47.15,104671800
05/10/2018,47.51,111769720
05/09/2018,46.84,92565040
05/08/2018,46.51,112212920
05/07/2018,46.29,170230120
05/04/2018,45.96,224548920
05/03/2018,44.22,135776440
05/02/2018,44.14,265818880
05/01/2018,42.28,208915640
04/30/2018,41.32,167906000
04/27/2018,40.58,142468920
04/26/2018,41.06,111401480
04/25/2018,40.91,113326160
04/24/2018,40.74,134699840
04/23/2018,41.31,145586360
04/20/2018,41.43,261083800
04/19/2018,43.2,138773120
04/18/2018,44.46,82178400
04/17/2018,44.56,106300040
04/16/2018,43.96,86245280
04/13/2018,43.68,100402040
04/12/2018,43.54,91435360
04/11/2018,43.11,89604160
04/10/2018,43.31,114268440
04/09/2018,42.51,115904800
04/06/2018,42.1,139798760
04/05/2018,43.2,107001040
04/04/2018,42.9,138327400
04/03/2018,42.1,120950560
04/02/2018,41.67,149702560
03/29/2018,41.94,152465160
03/28/2018,41.62,165859520
03/27/2018,42.08,159296800
03/26/2018,43.19,147114240
03/23/2018,41.24,163938160
03/22/2018,42.21,165343920
03/21/2018,42.82,145551520
03/20/2018,43.81,78482080
03/19/2018,43.82,131724440
03/16/2018,44.5,153253320
03/15/2018,44.66,90706080
03/14/2018,44.61,117338520
03/13/2018,44.99,125856680
03/12/2018,45.43,128764280
03/09/2018,45.0,128521440
03/08/2018,44.24,98075400
03/07/2018,43.76,126745800
03/06/2018,44.17,93092640
03/05/2018,44.2,111300560
03/02/2018,44.05,153704240
03/01/2018,43.75,194824680
02/28/2018,44.53,150272320
02/27/2018,44.6,155542040
02/26/2018,44.74,149414680
02/23/2018,43.88,135088200
02/22/2018,43.12,123815040
02/21/2018,42.77,149512280
02/20/2018,42.96,134762640
02/16/2018,43.11,160455160
02/15/2018,43.25,203634160
02/14/2018,41.84,161531560
02/13/2018,41.08,129933240
02/12/2018,40.68,243099600
02/09/2018,39.1,282334120
02/08/2018,38.79,216583720
02/07/2018,39.88,205869760
02/06/2018,40.76,272687760
02/05/2018,39.12,288861280
02/02/2018,40.12,343828200
02/01/2018,41.94,177812920
01/31/2018,41.86,128938080
01/30/2018,41.74,182541880
01/29/2018,41.99,202261680
01/26/2018,42.88,156301000
01/25/2018,42.78,165753120
01/24/2018,43.56,205474160
01/23/2018,44.26,129583480
01/22/2018,44.25,108208000
01/19/2018,44.62,125225560
01/18/2018,44.82,124349320
01/17/2018,44.78,137040920
01/16/2018,44.05,118049640
01/12/2018,44.27,101208800
01/11/2018,43.82,74613520
01/10/2018,43.57,95006760
01/09/2018,43.58,86128800
01/08/2018,43.59,82095480
01/05/2018,43.75,94359720
01/04/2018,43.26,89370600
01/03/2018,43.06,117844160
01/02/2018,43.06,101602160
12/29/2017,42.31,103755040
12/28/2017,42.77,65649080
12/27/2017,42.65,85909520
12/26/2017,42.64,132453360
12/22/2017,43.75,65358760
12/21/2017,43.75,83394640
12/20/2017,43.59,93805680
12/19/2017,43.64,109574640
12/18/2017,44.1,117542600
12/15/2017,43.49,160488400
12/14/2017,43.06,81770960
